design,platform,config_hash,param_hash,tag,status,critical_path_ns,die_area,total_power_mw,flow_elapsed_seconds,stage_elapsed_seconds,params_json,result_path,work_result_json,synth_script_path,synth_script_sha1
npu_fp16_cpp_nm16_cmp,nangate45,8acb30e53adb,a87afe0a,npu_fp16_compute_ladder_cmp33_flat_nomacro,ok,5.5222,2250000.0,0.265,3254.34,,"{""CLOCK_PERIOD"": 10.0, ""CORE_AREA"": ""50 50 1450 1450"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 1500 1500"", ""FLOW_VARIANT"": ""compute_ladder_cmp33_flat_nomacro"", ""PLACE_DENSITY"": 0.4, ""SYNTH_HIERARCHICAL"": 0, ""SYNTH_KEEP_MODULES"": """", ""TAG"": ""npu_fp16_compute_ladder_cmp33_flat_nomacro"", ""tag_prefix"": ""npu_fp16_compute_ladder""}",/orfs/flow/reports/nangate45/npu_fp16_cpp_nm16_cmp/compute_ladder_cmp33_flat_nomacro/6_finish.rpt,runs/designs/npu_blocks/npu_fp16_cpp_nm16_cmp/work/a87afe0a/result.json,,
npu_fp16_cpp_nm16_cmp,nangate45,8acb30e53adb,02bf217a,npu_fp16_compute_ladder_cmp33_hier_macro,ok,5.8094,2250000.0,0.277,3353.5699999999997,,"{""CLOCK_PERIOD"": 10.0, ""CORE_AREA"": ""50 50 1450 1450"", ""CORE_UTILIZATION"": """", ""DIE_AREA"": ""0 0 1500 1500"", ""FLOW_VARIANT"": ""compute_ladder_cmp33_hier_macro"", ""PLACE_DENSITY"": 0.4, ""SYNTH_HIERARCHICAL"": 1, ""SYNTH_KEEP_MODULES"": ""gemm_compute_array"", ""TAG"": ""npu_fp16_compute_ladder_cmp33_hier_macro"", ""tag_prefix"": ""npu_fp16_compute_ladder""}",/orfs/flow/reports/nangate45/npu_fp16_cpp_nm16_cmp/compute_ladder_cmp33_hier_macro/6_finish.rpt,runs/designs/npu_blocks/npu_fp16_cpp_nm16_cmp/work/02bf217a/result.json,,

